Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
,6.793323107,79.94166721,12.93,100.00,296.00,2285.00,2427.00,237
Mavittara South,6.795841962,79.94260368,13.92,160.00,205.00,2311.00,1796.00,238
,6.796310714,79.94408426,13.55,250.00,374.00,2463.00,2530.00,239
,6.800273779,79.94075832,13.90,400.00,495.00,2056.00,2049.00,240
,6.802489673,79.94256076,9.33,350.00,768.00,2272.00,2211.00,241
,6.801658714,79.93925628,10.00,170.00,670.00,1897.00,1856.00,242
,6.803511025,79.93335906,14.32,180.00,805.00,1289.00,1081.00,243
,6.803148813,79.93451777,12.15,240.00,940.00,1403.00,1313.00,244
,6.805876048,79.93479672,10.42,450.00,942.00,1533.00,1351.00,245
,6.807090516,79.93353072,13.33,270.00,823.00,1473.00,1240.00,246
Mampe East,6.806153032,79.93142787,15.96,300.00,572.00,1220.00,887.00,247
,6.815158927,79.92134533,13.82,350.00,543.00,1677.00,831.00,248
,6.815755496,79.92190323,11.26,350.00,549.00,1741.00,898.00,249
Bokundara,6.817459975,79.91992912,13.88,190.00,262.00,1948.00,1100.00,250
,6.821145891,79.91836271,12.20,220.00,292.00,2380.00,1419.00,251
,6.820229741,79.91413555,15.93,290.00,453.00,2415.00,978.00,252
,6.855719496,79.88563381,18.19,220.00,566.00,1730.00,3165.00,253
Pepiliyana West,6.857352928,79.88764059,17.53,200.00,338.00,1535.00,2944.00,254
,6.858986354,79.88765867,18.79,300.00,413.00,1357.00,2956.00,255
,6.860081285,79.88539878,18.79,400.00,689.00,1246.00,2920.00,256
,6.856006693,79.88438635,16.16,300.00,698.00,1709.00,2804.00,257
,6.824595498,79.90060768,10.24,270.00,1843.00,3638.00,676.00,258
,6.823058419,79.90160746,10.23,130.00,1876.00,3436.00,650.00,259
,6.823570779,79.90476805,8.33,240.00,1559.00,3257.00,455.00,260
,6.821489314,79.89965628,5.79,350.00,2051.00,3463.00,978.00,261
Werahera South,6.820928918,79.9054937,10.54,400.00,1400.00,2975.00,696.00,262
,6.825248247,79.90156218,8.20,190.00,1767.00,3624.00,653.00,263
,6.838300145,79.89313866,14.31,300.00,1005.00,3633.00,2005.00,264
,6.8393867,79.89474799,19.43,300.00,799.00,3532.00,1958.00,265
,6.839194955,79.89725853,15.82,210.00,741.00,3600.00,1761.00,266
Boralesgamuwa West A,6.838513195,79.89968325,15.95,310.00,769.00,3347.00,1547.00,267
,6.8381084,79.89558484,16.26,270.00,761.00,3686.00,1791.00,268
,6.773371182,79.93673443,11.81,450.00,987.00,3382.00,3767.00,269
,6.773008947,79.93911623,12.14,240.00,1160.00,3550.00,3920.00,270
,6.774777501,79.93885874,11.48,750.00,1218.00,3369.00,2533.00,271
Makandana West,6.773839955,79.9433434,13.54,260.00,855.00,3747.00,3877.00,272
,6.776780435,79.9392879,12.62,300.00,1100.00,3213.00,3563.00,273
,6.80091549,79.93213845,10.77,140.00,809.00,1100.00,1005.00,274
,6.801725629,79.92933675,11.46,200.00,520.00,805.00,710.00,275
Mampe West,6.803070762,79.92696607,16.21,350.00,260.00,616.00,534.00,276
,6.800747348,79.92662741,17.01,210.00,449.00,489.00,627.00,277
,6.801893771,79.92568837,13.87,230.00,331.00,428.00,465.00,278
,6.801177981,79.92767733,5.95,400.00,500.00,450.00,570.00,279
,6.80031603,79.92885341,5.91,450.00,700.00,980.00,730.00,280
Wewala East,6.824564527,79.9098493,6.12,300.00,805.00,500.00,654.00,281
,6.823850788,79.90967764,6.32,350.00,600.00,640.00,770.00,282
,6.821922621,79.90946306,6.44,350.00,700.00,550.00,800.00,283
,6.823690975,79.91256374,19.24,140.00,819.00,2837.00,665.00,284
,6.826311566,79.91441983,18.26,140.00,942.00,2581.00,746.00,285
,6.825928066,79.91123336,13.34,150.00,1101.00,2851.00,546.00,286
Katuwawala South,6.825086495,79.91499919,17.85,150.00,791.00,2649.00,825.00,287
,6.826034594,79.91141575,15.80,120.00,1097.00,2829.00,565.00,288
,6.832451146,79.91098477,12.96,260.00,1412.00,2413.00,701.00,289
Katuwawala North,6.832813336,79.90943982,14.08,260.00,1262.00,2539.00,702.00,290
,6.832429841,79.91034104,10.84,290.00,1363.00,2474.00,960.00,291
,6.832557673,79.91291596,9.47,140.00,1569.00,2228.00,850.00,292
,6.833986393,79.9124664,10.54,190.00,1436.00,2182.00,936.00,293
,6.859764422,79.89099097,16.27,450.00,339.00,1234.00,2599.00,294
Pepiliyana East,6.858209222,79.89214969,18.78,140.00,236.00,1418.00,2450.00,295
,6.85980703,79.89103389,18.22,400.00,344.00,1230.00,2595.00,296
,6.861767,79.89019704,15.40,100.00,561.00,1011.00,2728.00,297
,6.859892246,79.89189219,18.50,280.00,378.00,1229.00,2502.00,298
,6.814839336,79.92033682,14.24,180.00,499.00,1653.00,805.00,299
,6.816913615,79.92195265,13.35,200.00,492.00,1870.00,1027.00,300
,6.814292972,79.92180245,10.73,300.00,648.00,1579.00,735.00,301
Bokundara,6.817744547,79.91622346,15.07,160.00,204.00,2074.00,1354.00,302
,6.821328509,79.91865476,14.68,240.00,319.00,2395.00,1440.00,303
,6.784620231,79.95532697,11.65,600.00,939.00,4061.00,2312.00,304
,6.781551955,79.95828813,7.62,1000.00,1079.00,4507.00,2035.00,305
,6.784748076,79.96120637,8.10,290.00,1505.00,4656.00,1659.00,306
,6.780529191,79.95266622,16.63,400.00,447.00,4022.00,2670.00,307
Halpita,6.782446871,79.95056336,17.36,500.00,410.00,3710.00,2863.00,308
,6.795998102,79.91708226,11.18,400.00,612.00,738.00,1008.00,309
Suwarapola East,6.795316281,79.91431422,16.57,170.00,386.00,1035.00,1362.00,310
,6.794464002,79.91598792,14.28,450.00,588.00,941.00,1318.00,311
,6.797191287,79.91791911,13.64,450.00,675.00,584.00,846.00,312
,6.798299242,79.91892762,16.98,270.00,571.00,424.00,721.00,313
Mavittara North,6.806999301,79.93803351,10.17,170.00,991.00,1913.00,1727.00,314
,6.804783428,79.9373254,9.31,290.00,1067.00,1753.00,1621.00,315
,6.805699607,79.94127361,10.68,150.00,1100.00,2203.00,2066.00,316
,6.805188252,79.94262545,10.13,500.00,1062.00,2333.00,2212.00,317
Bangalawatta,6.837107748,79.961406,11.17,550.00,880.00,1146.00,1541.00,318
,6.837138282,79.96314868,12.20,290.00,987.00,1293.00,1676.00,319
,6.835255323,79.96382525,11.06,250.00,1199.00,1484.00,1876.00,320
,6.777842492,79.92728725,9.11,100.00,1274.00,2540.00,2976.00,321
Batakettara South,6.777277436,79.93119289,9.25,260.00,1156.00,2727.00,3140.00,322
,6.777778569,79.92293134,9.30,400.00,1485.00,2486.00,2940.00,323
,6.781422174,79.9281241,7.25,280.00,1640.00,2179.00,2604.00,324
,6.781230406,79.92949739,8.74,240.00,1600.00,2249.00,2664.00,325
,6.767913142,79.94419461,8.18,260.00,1356.00,4334.00,4067.00,326
,6.764461209,79.94687682,7.52,180.00,1651.00,4819.00,4024.00,327
,6.7667625,79.94436627,7.18,200.00,1469.00,4451.00,4115.00,328
Batuwandara South,6.768360613,79.94181281,8.98,230.00,1251.00,4148.00,4277.00,329
,6.773827424,79.92323818,6.87,500.00,1130.00,2927.00,3380.00,330
,6.771524964,79.92274718,8.78,500.00,1020.00,3181.00,3636.00,331
Dampe2,6.76778683,79.92473848,7.67,750.00,667.00,3607.00,4058.00,332
,6.769357933,79.92029215,6.07,240.00,1186.00,3429.00,3886.00,333
,6.793735857,79.93154986,8.89,290.00,1051.00,1252.00,2121.00,334
Kesbewa North,6.792393513,79.93448956,11.36,400.00,796.00,1607.00,1852.00,335
,6.792478742,79.93114216,9.35,450.00,1133.00,1301.00,1604.00,336
,6.794311145,79.93054135,8.32,280.00,1150.00,1123.00,1401.00,337
Erewwala East,6.834858488,79.94273191,5.90,500.00,1494.00,1612.00,1728.00,338
,6.836240646,79.94363311,8.00,250.00,1311.00,1438.00,1545.00,339
,6.839152389,79.94169978,8.59,280.00,1189.00,1463.00,1464.00,340
,6.835596655,79.93965466,6.11,180.00,1631.00,1502.00,1895.00,341
,6.838052863,79.940512,9.43,220.00,1369.00,1428.00,1644.00,342
,6.834911322,79.94331153,7.48,450.00,1457.00,1559.00,1686.00,343
,6.840055985,79.94133409,7.32,350.00,1154.00,1423.00,1438.00,344
,6.839027057,79.94105915,6.36,350.00,1251.00,1436.00,1529.00,345
,6.837704146,79.94424208,10.36,140.00,1136.00,1287.00,1375.00,346
,6.838906454,79.9382258,8.62,350.00,1510.00,1160.00,1798.00,347
,6.836710455,79.93628308,4.92,500.00,1827.00,1143.00,1741.00,348
,6.839890959,79.94349788,10.07,240.00,990.00,1246.00,1258.00,349
,6.835429336,79.94130845,8.03,240.00,1528.00,1659.00,1780.00,350
,6.83588207,79.94038041,5.70,140.00,1554.00,1546.00,1815.00,351
Delthara West,6.78190025,79.91322106,7.81,220.00,1774.00,2263.00,2697.00,352
,6.783241594,79.91329694,8.42,270.00,1626.00,2127.00,2557.00,353
,6.783395129,79.91247231,7.47,310.00,1603.00,2157.00,2581.00,354
,6.783395129,79.91160903,5.28,440.00,1602.00,2207.00,2625.00,355
,6.7839453,79.91115806,4.81,410.00,1542.00,2183.00,2595.00,356
,6.784099739,79.91031783,5.24,670.00,1533.00,2224.00,2628.00,357
,6.784537008,79.91136209,8.48,270.00,1476.00,2116.00,2527.00,358
,6.785498997,79.91103497,8.24,190.00,1371.00,2052.00,2454.00,359
,6.785701562,79.91026333,5.75,220.00,1357.00,2088.00,2482.00,360
,6.785441008,79.90956986,5.72,310.00,1398.00,2160.00,2550.00,361
,6.78487337,79.9091013,7.72,415.00,1470.00,2242.00,2631.00,362
,6.78403587,79.90956986,4.78,500.00,1552.00,2280.00,2679.00,363
,6.783198368,79.91051635,6.10,510.00,1631.00,2292.00,2703.00,364
,6.78642834,79.9094659,7.03,350.00,1292.00,2086.00,2467.00,365
,6.787232973,79.90976635,8.50,160.00,1198.00,1998.00,2376.00,366
Kolamunna            ,6.796882335,79.92480333,8.43,300.00,590.00,456.00,746.00,367
,6.795229431,79.92398346,6.95,360.00,740.00,575.00,908.00,368
,6.796091119,79.92327148,8.72,350.00,634.00,461.00,804.00,369
,6.796356299,79.92251072,7.57,450.00,601.00,419.00,773.00,370
,6.795063421,79.92216972,9.67,450.00,747.00,562.00,918.00,371
,6.791606823,79.92323366,7.05,180.00,1131.00,952.00,1402.00,372
,6.790645462,79.92509267,6.96,120.00,1264.00,1099.00,1531.00,373
,6.791919513,79.92581499,8.79,200.00,1148.00,993.00,1409.00,374
,6.792198223,79.92350309,9.96,170.00,1067.00,891.00,1338.00,375
,6.792846025,79.92233736,7.95,350.00,993.00,809.00,1264.00,376
,6.793387629,79.92259403,9.45,400.00,931.00,749.00,1103.00,377
,6.796660491,79.92481617,11.24,270.00,613.00,477.00,770.00,378
,6.796751045,79.92352871,9.80,360.00,564.00,399.00,734.00,379
,6.796347249,79.92202783,7.78,550.00,607.00,420.00,777.00,380
Vishwakalawa         ,6.804189614,79.92978301,9.36,160.00,402.00,950.00,720.00,381
,6.804669011,79.93004051,8.42,220.00,417.00,1001.00,711.00,382
,6.805393432,79.9291822,11.05,380.00,315.00,967.00,676.00,383
,6.805041875,79.93021217,8.27,470.00,431.00,1039.00,733.00,384
,6.805627803,79.92732611,9.85,250.00,113.00,832.00,581.00,385
,6.806501368,79.9273583,10.60,280.00,172.00,908.00,621.00,386
,6.806384182,79.92805567,9.37,350.00,223.00,948.00,686.00,387
,6.80634157,79.92868867,10.71,450.00,284.00,994.00,650.00,388
,6.806522674,79.92872086,7.53,500.00,295.00,1011.00,660.00,389
,6.805894134,79.92950406,9.59,600.00,356.00,1029.00,712.00,390
,6.807055335,79.92915001,11.90,170.00,366.00,1087.00,717.00,391
,6.807108601,79.9298903,9.16,140.00,441.00,1150.00,755.00,392
,6.806840685,79.93021329,9.76,160.00,462.00,1157.00,778.00,393
,6.807586409,79.93052979,11.82,150.00,529.00,1238.00,842.00,394
Pelenwatta North     ,6.822218658,79.95237242,5.90,300.00,2099.00,2444.00,2791.00,395
,6.825418541,79.95088345,4.27,140.00,2112.00,2108.00,2438.00,396
,6.828091844,79.95161774,5.64,350.00,1889.00,1802.00,2138.00,397
,6.830198073,79.95312711,6.91,400.00,1613.00,1552.00,1907.00,398
,6.819072186,79.95086113,7.89,200.00,1834.00,2808.00,3144.00,399
Thumbovila South     ,6.813299927,79.91397837,7.56,800.00,728.00,1734.00,1009.00,400
,6.810011161,79.91236236,6.33,1400.00,1132.00,1559.00,981.00,401
,6.814417412,79.91542276,6.18,650.00,536.00,1765.00,986.00,402
Morenda,6.770791715,79.9511522,9.23,220.00,965.00,4578.00,3237.00,403
,6.769428,79.95349109,7.53,110.00,1198.00,4870.00,3103.00,404
,6.768511752,79.95175302,9.69,140.00,1227.00,4808.00,3320.00,405
,6.773689597,79.95033681,8.57,220.00,630.00,4288.00,3165.00,406
,6.774420744,79.94728013,8.12,600.00,557.00,3989.00,3445.00,407
Delthara East,6.775240451,79.91584651,4.89,800.00,1892.00,2859.00,3312.00,408
,6.780276463,79.91589956,7.19,170.00,1999.00,2319.00,2768.00,409
,6.783932982,79.91565122,7.80,140.00,1598.00,1946.00,2389.00,410
,6.787056832,79.91335291,9.23,200.00,1205.00,1760.00,2174.00,411
,6.788411965,79.91266999,7.68,180.00,1047.00,1685.00,2083.00,412
Divulpitiya West,6.84799037,79.89512353,11.37,240.00,271.00,2595.00,2298.00,413
,6.849098208,79.89463,8.76,230.00,332.00,2463.00,2303.00,414
,6.850078215,79.89306359,10.33,300.00,531.00,2329.00,2435.00,415
,6.85274127,79.89138989,7.87,270.00,453.00,2017.00,2553.00,416
,6.853167358,79.89250569,7.88,110.00,450.00,1980.00,2423.00,417
Pelenwatta East,6.82599677,79.95773103,7.49,150.00,2004.00,2063.00,2454.00,418
,6.82546413,79.95869663,7.03,220.00,2067.00,2145.00,2540.00,419
,6.825975464,79.95903995,7.38,110.00,2013.00,2100.00,2498.00,420
,6.830130033,79.9576452,5.00,550.00,1544.00,1613.00,2010.00,421
,6.82846821,79.95994117,8.92,140.00,1750.00,1869.00,2273.00,422
Hedigama,6.791164216,79.91115244,7.11,220.00,742.00,1589.00,1940.00,423
,6.790951145,79.91284759,8.42,350.00,768.00,1463.00,1839.00,424
,6.792485256,79.91325529,8.77,250.00,610.00,1315.00,1676.00,425
,6.79252787,79.91585167,8.58,400.00,733.00,1106.00,1507.00,426
,6.789054806,79.90952165,10.19,110.00,1007.00,1879.00,2236.00,427
Pelenwatta West,6.823490218,79.94543311,6.25,550.00,1492.00,2481.00,2749.00,428
,6.826515616,79.94279382,5.38,900.00,1531.00,2315.00,2531.00,429
,6.821870984,79.93923185,7.68,350.00,880.00,2720.00,2587.00,430
,6.824875086,79.93916747,5.68,500.00,1170.00,2415.00,2589.00,431
,6.81991085,79.94114158,7.34,450.00,871.00,3007.00,2625.00,432
Regidel Watta,6.753892762,79.93314004,5.56,350.00,1473.00,5283.00,5316.00,433
,6.755896332,79.93350975,6.33,270.00,1264.00,5076.00,5307.00,434
,6.756379829,79.93547755,5.21,270.00,1287.00,5083.00,5306.00,435
,6.752370822,79.9305682,6.13,190.00,1616.00,5391.00,5232.00,436
,6.755312107,79.9316231,4.73,61.00,1294.00,5092.00,5329.00,437
Jamburaliya,6.762056231,79.93747181,6.55,400.00,929.00,4559.00,4968.00,438
,6.764518337,79.94138807,6.29,280.00,1222.00,4495.00,4528.00,439
,6.762979522,79.94262775,5.48,300.00,1401.00,4711.00,4505.00,440
,6.760825173,79.94476902,4.47,400.00,1708.00,5037.00,4456.00,441
,6.759286346,79.94014839,4.86,950.00,1353.00,4959.00,4968.00,442
Honnanthara South,6.794221939,79.94781679,8.04,200.00,805.00,2916.00,3001.00,443
,6.794307167,79.95225853,7.79,350.00,1290.00,3397.00,2814.00,444
,6.794030176,79.94828886,7.80,180.00,861.00,2972.00,3057.00,445
,6.790003137,79.94790262,8.25,350.00,1025.00,3065.00,3169.00,446
,6.789726144,79.95043463,5.75,220.00,1188.00,3339.00,2886.00,447
Paligedara,6.816561786,79.9315807,11.77,210.00,386.00,2102.00,1559.00,448
,6.819502004,79.93263213,7.79,550.00,527.00,2445.00,1878.00,449
,6.816476562,79.92821185,11.31,200.00,746.00,1937.00,1309.00,450
,6.822506121,79.93037907,6.19,550.00,941.00,2414.00,2006.00,451
,6.821099941,79.93203131,8.69,750.00,715.00,2575.00,1975.00,452
Divulpitiya East,6.855148107,79.89532011,10.24,260.00,553.00,1827.00,2090.00,453
,6.853056382,79.89576106,9.02,250.00,555.00,2064.00,2067.00,454
,6.85376984,79.89618568,10.03,170.00,617.00,2003.00,2009.00,455
,6.854921098,79.89602237,7.76,300.00,635.00,1876.00,2014.00,456
,6.856575014,79.89532011,7.46,400.00,524.00,1676.00,2087.00,457
Bodhirajapura,6.82850034,79.90475237,9.49,110.00,1445.00,3234.00,564.00,458
,6.827928541,79.90565854,8.40,270.00,1533.00,3185.00,548.00,459
,6.827365151,79.90487094,8.55,190.00,1571.00,3293.00,684.00,460
,6.828172396,79.90625983,10.73,270.00,1527.00,3114.00,638.00,461
,6.82758378,79.90688653,7.42,350.00,1580.00,3096.00,462.00,462
Thumbovila West,6.803500207,79.91878219,9.53,600.00,679.00,642.00,696.00,463
,6.804885132,79.9182243,9.28,700.00,809.00,797.00,675.00,464
,6.804821212,79.92011257,8.53,300.00,647.00,677.00,520.00,465
,6.805694779,79.91496273,7.26,750.00,1044.00,1024.00,691.00,466
,6.801902211,79.91951176,11.71,350.00,357.00,367.00,590.00,467
Gorakapitiya,6.812973038,79.94993918,6.92,350.00,1702.00,3394.00,3176.00,468
,6.815103649,79.94466059,5.61,450.00,1096.00,2997.00,2721.00,469
,6.816509846,79.93942492,8.91,180.00,530.00,2639.00,2266.00,470
Kaliyammahara,6.819095934,79.9245943,9.86,220.00,752.00,2128.00,1410.00,471
,6.818275656,79.92735161,6.47,500.00,894.00,2098.00,1432.00,472
,6.817605776,79.928658,7.52,350.00,732.00,2072.00,1441.00,473
,6.818352832,79.93045116,9.81,350.00,592.00,2224.00,1625.00,474
,6.818377734,79.92731626,7.24,550.00,902.00,2108.00,1441.00,475
Niwanthidiya,6.823384284,79.92067969,7.51,400.00,621.00,2501.00,1582.00,476
,6.824193899,79.92353356,7.89,190.00,889.00,2311.00,1696.00,477
,6.825727904,79.92557204,8.90,250.00,1171.00,2092.00,1589.00,478
,6.826644043,79.92746032,7.78,160.00,1396.00,1960.00,1579.00,479
Nivungama,6.777168099,79.94800998,9.05,300.00,243.00,3836.00,3267.00,480
,6.77582571,79.95075656,8.53,100.00,426.00,4164.00,3028.00,481
,6.775847018,79.94796706,9.67,400.00,383.00,3932.00,3318.00,482
Honnanthara North,6.801635369,79.94682706,6.79,400.00,934.00,2736.00,2692.00,483
,6.803510351,79.948887,6.84,210.00,1244.00,2984.00,2907.00,484
,6.803297285,79.95101131,6.78,350.00,1411.00,3216.00,3144.00,485
,6.802146728,79.94560398,6.15,650.00,886.00,2605.00,2551.00,486
Nampamunuwa,6.810656049,79.9451883,7.41,180.00,1265.00,2806.00,2595.00,487
,6.808312355,79.94405104,5.90,450.00,1289.00,2588.00,2412.00,488
,6.810229924,79.94709803,4.85,350.00,1479.00,2982.00,2789.00,489
,6.813084956,79.94231297,7.76,300.00,870.00,2655.00,2388.00,490
Thumbovila North,6.813416636,79.91480353,6.78,850.00,667.00,1698.00,950.00,491
,6.815436632,79.91384055,9.09,600.00,567.00,1946.00,1287.00,492
Erewwala West,6.829995535,79.93074325,7.77,280.00,1696.00,1586.00,1505.00,493
,6.826288382,79.93417647,7.34,190.00,1224.00,2065.00,2066.00,494
,6.823902154,79.93409064,7.51,550.00,960.00,2319.00,2252.00,495
,6.822453366,79.93460563,8.77,250.00,796.00,2490.00,2270.00,496
Erewwala North,6.837645597,79.93651404,5.64,450.00,1746.00,1088.00,1753.00,497
,6.835557697,79.93649259,7.09,350.00,1888.00,1254.00,1789.00,498
,6.83074271,79.93797316,6.36,290.00,1753.00,1783.00,2127.00,499
,6.828441725,79.93782296,6.80,400.00,1500.00,1995.00,2237.00,500
